,Unnamed: 0,text,date,user,location,Clean_Tweet
1387,1387,UC San Francisco detected the first case of #Omicron in the U.S. Support Awareness of Critical Preventive Measures.… https://t.co/FliU2TqMpw,2021-12-01 22:49:07,TogetherWeMask,United States of America,San the first case of Omicron in the U . S . Support Awareness of Critical Preventive .…
1388,1388,Man Forces to Get Vaccine to Receive Transplant Dies After Moderna Shot - https://t.co/iaVsO2LbLa #CovidVaccine… https://t.co/sCuoAyicdV,2021-12-01 22:46:26,JewishVoice,"New York, NY",Man to Get Vaccine to Receive Transplant After Shot - …
1389,1389,Hey @Walgreens I got my #BoosterShot today at your 161st location in the Bronx. Your process is broken. Here's why!… https://t.co/QO20xEk36g,2021-12-01 22:43:20,nothingGrinder,"Bronx, NY",Hey I got my today at your st location in the . Your process is broken . Here ' s why !…
1390,1390,#Ontario to expand eligibility of #COVID19 #BoosterShot mid-December for adults 50 and older amid rising case count… https://t.co/CNtksCL0uV,2021-12-01 22:38:39,daveschulz,"Niagara, Ontario, Canada",to expand eligibility of COVID mid - for  and older amid rising case count …
1391,1391,RT @Sarah_Bean133: Gonna go get my booster shot and maybe my flu shot tonight 🥲✌️ #COVID19 #BoosterShot,2021-12-01 22:30:59,OSherbitz,"Kleszczewo, Polska",Bean : go get my booster shot and maybe my flu shot tonight 🥲✌️ COVID
1392,1392,Gonna go get my booster shot and maybe my flu shot tonight 🥲✌️ #COVID19 #BoosterShot,2021-12-01 22:28:30,Sarah_Bean133,she/they,go get my booster shot and maybe my flu shot tonight 🥲✌️ COVID
1393,1393,Omicron is a gotdamn Decepticon! Just got my covid booster. #BoosterShot #BoosterClub #ModernaBooster https://t.co/r3tc7krsJr,2021-12-01 22:27:03,naturallyfabu,,Omicron is a ! Just got my covid booster .
1394,1394,"Dark Angels &amp; Pretty Freaks #Podcast #351 “Naily Toes”

 #Married #Chatting #Life #Unedited #Thankful 4 everyone st… https://t.co/SuCIpSMt63",2021-12-01 22:23:00,DAPFpodcast,"Napa, California",Dark & ; Pretty  “ Naily ” Married Chatting Life Unedited Thankful  everyone st …
1395,1395,"The first case of #OmicronVariant detected in the #UnitedStates. #COVID19 #Omicron 

“The person, who had had the f… https://t.co/imqxEp3PBW",2021-12-01 22:17:46,csu_scientist,,"The first case of in the . COVID Omicron “ The person , who had had the f …"
1396,1396,"RT @Maricopahealth: ✅#GetVaccinatedNow or a #BoosterShot if eligible
✅Stay home if sick and get tested
✅#WearAMask in public spaces
https:/…",2021-12-01 22:14:19,maricopacounty,"Phoenix, AZ",: ✅ or a if eligible ✅ Stay home if sick and get tested ✅ in public :/…
1397,1397,"Dark Angels &amp; Pretty Freaks #Podcast #351 “Naily Toes”
 #Married #Chatting #Life #Unedited #Thankful 4 everyone sti… https://t.co/JHoM1Me3bf",2021-12-01 22:01:00,DAPFpodcast,"Napa, California",Dark & ; Pretty  “ Naily ” Married Chatting Life Unedited Thankful  everyone …
1398,1398,"CDC RECOMMENDS COVID BOOSTER SHOT FOR ALL ADULTS 18+

Booster shots are now available to any adult who's had a prim… https://t.co/jrVm3KSHED",2021-12-01 22:00:29,CFRI_CureCF,"Palo Alto, CA",COVID BOOSTER SHOT FOR ALL  + Booster are now available to any adult who ' s had a prim …
1399,1399,RT @DAPFpodcast: Dark Angels &amp; Pretty Freaks #Podcast #351 “Naily Toes” #Married #Chatting #Life #Unedited #Thankful 4 everyone still liste…,2021-12-01 21:49:12,AngelsFreak7,"Napa, California",: Dark & ; Pretty  “ Naily ” Married Chatting Life Unedited Thankful  everyone still …
